,Sentence,Source,Side,Readability,split
969,"In order to examine large protein complexes on long timescales of biological importance, however, coarse-grained simulation approaches are needed to complement experiment.",plos_computational_biology,simple,4.0,train
970,"Previous coarse-grained models have proved successful for investigations involving a given protein's native structure, including protein folding and structure prediction.",plos_computational_biology,simple,4.3,train
971,We construct a model capable of simulating proteins regardless of their sequence or structure.,plos_computational_biology,simple,4.0,train
972,"The present coarse-grained model was, however, developed rigorously from the underlying atomistic forces as opposed to knowledge-based or ad hoc parameterizations.",plos_computational_biology,simple,4.3,train
973,Examination of the model predictions on various accessible timescales reveals successes and limitations of the model.,plos_computational_biology,simple,3.3,train
974,"While functionally relevant conformational transitions can be studied, the coarse-grained representation has some difficulty with the ab initio folding of the peptide chain into its proper structure.",plos_computational_biology,simple,5.0,train
975,"Our observations highlight the complex molecular nature of a protein's underlying energy landscape, offering rigorous insight into the information missing in reduced representations of the peptide chain.",plos_computational_biology,simple,4.3,train
976,"With these caveats in mind, the physical interaction-based, coarse-grained model will find application in simulations of a wide variety of proteins and continue to guide future coarse-graining efforts.",plos_computational_biology,simple,4.0,train
977,"The transformer (tra) gene is essential for female development in many insect species, including the Australian sheep blow fly, Lucilia cuprina.",plos_genetics,complex,4.0,train
978,Sex-specific tra RNA splicing is controlled by Sex lethal (Sxl) in Drosophila melanogaster but is auto-regulated in L. cuprina.,plos_genetics,complex,6.0,train
979,Sxl also represses X chromosome dosage compensation in female D. melanogaster.,plos_genetics,complex,5.0,train
980,We have developed conditional Lctra RNAi knockdown strains using the tet-off system.,plos_genetics,complex,5.3,train
981,Four strains did not produce females on diet without tetracycline and could potentially be used for genetic control of L. cuprina.,plos_genetics,complex,5.0,train
982,"In one strain, which showed both maternal and zygotic tTA expression, most XX transformed males died at the pupal stage.",plos_genetics,complex,5.3,train
983,RNAseq and qRT-PCR analyses of mid-stage pupae showed increased expression of X-linked genes in XX individuals.,plos_genetics,complex,5.3,train
984,These results suggest that Lctra promotes somatic sexual differentiation and inhibits X chromosome dosage compensation in female L. cuprina.,plos_genetics,complex,6.0,train
985,"However, XX flies homozygous for a loss-of-function Lctra knockin mutation were fully transformed and showed high pupal eclosion.",plos_genetics,complex,6.0,train
986,Two of five X-linked genes examined showed a significant increase in mRNA levels in XX males.,plos_genetics,complex,4.3,train
987,The stronger phenotype in the RNAi knockdown strain could indicate that maternal Lctra expression may be essential for initiation of dosage compensation suppression in female embryos.,plos_genetics,complex,6.0,train
988,"In the fruit fly Drosophila melanogaster and in the mosquito Anopheles gambiae, a single gene (Sxl in D. melanogaster, fle in A. gambiae) controls the development of female-specific tissues and X chromosome dosage compensation, which is the equalization of X-linked gene products in males and females.",plos_genetics,simple,6.0,train
989,"In this study we find evidence that the transformer gene is essential for somatic sex differentiation and repression of X chromosome dosage compensation in female sheep blow fly, Lucilia cuprina.",plos_genetics,simple,4.7,train
990,"In several of the transgenic strains developed, females are transformed into males on diet that lacks tetracycline.",plos_genetics,simple,4.0,train
991,"Consequently, these strains could be part of a genetic control program of this major pest of sheep in Australia.",plos_genetics,simple,3.7,train
992,"The compulsory vaccination of pets, the recommended vaccination of farm animals in grazing areas and the extermination of stray animals did not succeed in eliminating rabies in Estonia because the virus was maintained in two main wildlife reservoirs, foxes and raccoon dogs.",plos_neglected_tropical_diseases,complex,4.3,train
993,These two species became a priority target therefore in order to control rabies.,plos_neglected_tropical_diseases,complex,3.7,train
994,"Supported by the European Community, successive oral vaccination (OV) campaigns were conducted twice a year using Rabigen (r) SAG2 baits, beginning in autumn 2005 in North Estonia.",plos_neglected_tropical_diseases,complex,5.3,train
995,They were then extended to the whole territory from spring 2006.,plos_neglected_tropical_diseases,complex,3.0,train
996,"Following the vaccination campaigns, the incidence of rabies cases dramatically decreased, with 266 cases in 2005, 114 in 2006, four in 2007 and three in 2008.",plos_neglected_tropical_diseases,complex,3.7,train
997,"Since March 2008, no rabies cases have been detected in Estonia other than three cases reported in summer 2009 and one case in January 2011, all in areas close to the South-Eastern border with Russia.",plos_neglected_tropical_diseases,complex,3.7,train
998,"The bait uptake was satisfactory, with tetracycline positivity rates ranging from 85% to 93% in foxes and from 82% to 88% in raccoon dogs.",plos_neglected_tropical_diseases,complex,4.7,train
999,Immunisation rates evaluated by ELISA ranged from 34% to 55% in foxes and from 38% to 55% in raccoon dogs.,plos_neglected_tropical_diseases,complex,3.7,train
1000,"The rabies situation in Estonia was compared to that of the other two Baltic States, Latvia and Lithuania.",plos_neglected_tropical_diseases,complex,3.7,train
1001,"Despite regular OV campaigns conducted throughout their territory since 2006, and an improvement in the epidemiological situation, rabies has still not been eradicated in these countries.",plos_neglected_tropical_diseases,complex,4.7,train
1002,An analysis of the number of baits distributed and the funding allocated by the European Commission showed that the strategy for rabies control is more cost-effective in Estonia than in Latvia and Lithuania.,plos_neglected_tropical_diseases,complex,4.0,train
1003,"This paper reports the strategy of oral rabies vaccination of wildlife in Estonia, the measures undertaken to check the method's efficacy and the results obtained.",plos_neglected_tropical_diseases,simple,4.0,train
1004,"Initiated in autumn 2005, oral vaccination programmes resulted in a dramatic decrease in rabies incidence.",plos_neglected_tropical_diseases,simple,3.7,train
1005,"All the recommended tests were regularly applied, including the systematic testing of vaccine baits prior to release in the field, serological testing and bait uptake assessment in adult and young animals as well as the typing of all rabies virus isolates.",plos_neglected_tropical_diseases,simple,4.7,train
1006,"The disease was completely controlled by March 2008, with only three cases reported in summer 2009 and one case in January 2011 in areas very close to the South-Eastern border.",plos_neglected_tropical_diseases,simple,3.3,train
1007,The costs associated with rabies control have been calculated and compared on a similar basis for the three Baltic countries.,plos_neglected_tropical_diseases,simple,4.0,train
1008,The example of rabies control in Estonia shows that rabies can be quickly and successfully eliminated through successive oral vaccination campaigns by strictly following the recommendations of international organisations.,plos_neglected_tropical_diseases,simple,4.0,train
1009,"These recommendations concern general strategy, vaccination method and choice of vaccine.",plos_neglected_tropical_diseases,simple,3.3,train
1010,"To our knowledge, this is the first study showing extensive data from a rabies control programme.",plos_neglected_tropical_diseases,simple,3.7,train
1011,"The underlying strategy, leading to rabies elimination, is advantageous in terms of cost / effectiveness.",plos_neglected_tropical_diseases,simple,3.7,train
1012,Drosophila melanogaster has played a key role in our understanding of invertebrate immunity.,plos_pathogens,complex,5.0,train
1013,"However, both functional and evolutionary studies of host-virus interaction in Drosophila have been limited by a dearth of native virus isolates.",plos_pathogens,complex,5.0,train
1014,"In particular, despite a long history of virus research, DNA viruses of D. melanogaster have only recently been described, and none have been available for experimental study.",plos_pathogens,complex,4.3,train
1015,"Here we report the isolation and comprehensive characterisation of Kallithea virus, a large double-stranded DNA virus, and the first DNA virus to have been reported from wild populations of D. melanogaster.",plos_pathogens,complex,5.3,train
1016,"We find that Kallithea virus infection is costly for adult flies, reaching high titres in both sexes and disproportionately reducing survival in males, and movement and late fecundity in females.",plos_pathogens,complex,4.7,train
1017,"Using the Drosophila Genetic Reference Panel, we quantify host genetic variance for virus-induced mortality and viral titre and identify candidate host genes that may underlie this variation, including Cdc42-interacting protein 4.",plos_pathogens,complex,5.3,train
1018,"Using full transcriptome sequencing of infected males and females, we examine the transcriptional response of flies to Kallithea virus infection and describe differential regulation of virus-responsive genes.",plos_pathogens,complex,6.0,train
1019,"This work establishes Kallithea virus as a new tractable model to study the natural interaction between D. melanogaster and DNA viruses, and we hope it will serve as a basis for future studies of immune responses to DNA viruses in insects.",plos_pathogens,complex,5.0,train
1020,The fruit fly Drosophila melanogaster is a useful model species to study host-virus interaction and innate immunity.,plos_pathogens,simple,5.3,train
1021,"However, few natural viruses of Drosophila have been available for experiments, and no natural DNA viruses of Drosophila melanogaster have been available at all.",plos_pathogens,simple,4.3,train
1022,"Although infecting flies with viruses from other insects has been useful to uncover general immune mechanisms, viruses that naturally infect wild flies could help us to learn more about the coevolutionary process, and more about the genes that underlie host-virus interactions.",plos_pathogens,simple,4.3,train
1023,Here we present an isolate of a DNA virus (named Kallithea virus) that naturally infects the model species Drosophila melanogaster in the wild.,plos_pathogens,simple,4.7,train
1024,"We describe the basic biology of infection by this virus, finding that both male and female flies die from infection.",plos_pathogens,simple,3.3,train
1025,"We also find that females are more tolerant of infection than males, but lay fewer eggs than uninfected females.",plos_pathogens,simple,3.3,train
1026,"We quantify genetic variation for virus resistance in the flies, and we use RNA sequencing to find which genes are expressed in male and female flies in response to infection.",plos_pathogens,simple,4.3,train
1027,"These results will form the basis for further research to understand how insects defend themselves against infection by DNA viruses, and how DNA viruses can overcome antiviral defence.",plos_pathogens,simple,4.0,train
1028,"We have functionally and structurally defined an essential protein phosphorelay that regulates expression of genes required for growth, division, and intracellular survival of the global zoonotic pathogen Brucella abortus.",pnas,complex,6.0,train
1029,"Our study delineates phosphoryl transfer through this molecular pathway, which initiates from the sensor kinase CckA and proceeds through the ChpT phosphotransferase to two regulatory substrates: CtrA and CpdR.",pnas,complex,6.0,train
1030,"Genetic perturbation of this system results in defects in cell growth and division site selection, and a specific viability deficit inside human phagocytic cells.",pnas,complex,4.3,train
1031,"Thus, proper control of B. abortus division site polarity is necessary for survival in the intracellular niche.",pnas,complex,6.0,train
1032,"We further define the structural foundations of signaling from the central phosphotransferase, ChpT, to its response regulator substrate, CtrA, and provide evidence that there are at least two modes of interaction between ChpT and CtrA, only one of which is competent to catalyze phosphoryltransfer.",pnas,complex,6.0,train
1033,"The structure and dynamics of the active site on each side of the ChpT homodimer are distinct, supporting a model in which quaternary structure of the 2: 2 ChpT-CtrA complex enforces an asymmetric mechanism of phosphoryl transfer between ChpT and CtrA.",pnas,complex,6.0,train
1034,"Our study provides mechanistic understanding, from the cellular to the atomic scale, of a conserved transcriptional regulatory system that controls the cellular and infection biology of B. abortus.",pnas,complex,4.3,train
1035,"More generally, our results provide insight into the structural basis of two-component signal transduction, which is broadly conserved in bacteria, plants, and fungi.",pnas,complex,4.0,train
1036,Brucella abortus is an intracellular bacterial pathogen that inflicts a significant health burden on both humans and their livestock on a global scale.,pnas,simple,5.0,train
1037,"We demonstrate that an essential regulatory system controls the growth and morphology of B. abortus, and that this system is required for survival inside mammalian host cells.",pnas,simple,5.3,train
1038,"Using experimental and computational tools of structural biology, we further define how the protein components of this regulatory pathway interact at the atomic scale.",pnas,simple,4.3,train
1039,"Our results provide evidence for multiple, asymmetric modes of binding between essential pathway proteins that control transcription.",pnas,simple,4.7,train
1040,The multimodal molecular interactions we observe provide evidence for new layers of allosteric control of this conserved gene regulatory system.,pnas,simple,4.3,train
1041,"To avoid having a bowel movement, children may tighten the external sphincter muscles, pushing the stool higher in the rectal vault.",MSD,complex,4.7,train
1042,"If this behavior is repeated, the rectum stretches to accommodate the retained stool.",MSD,complex,4.3,train
1043,"The urge to defecate is then decreased, and the stool becomes harder, leading to a vicious circle of painful defecation and worsened constipation.",MSD,complex,4.3,train
1044,"Occasionally, soft stool passes around the impacted stool and leads to stool incontinence (encopresis).",MSD,complex,4.3,train
1045,"Anal fissures cause pain with stool passage, leading to a similar vicious circle of delayed bowel movements, resulting in harder stool that is more painful to pass.",MSD,complex,4.3,train
1046,"If children do not move their bowels when the natural urge comes, the rectum eventually stretches to accommodate the stool.",MSD,simple,4.0,train
1047,"When the rectum has stretched, the urge to have a BM lessens, and more and more stool accumulates and hardens.",MSD,simple,4.7,train
1048,A vicious circle of worsening constipation may result.,MSD,simple,3.3,train
1049,"If the accumulated stool hardens, it sometimes blocks the passage of other stool — a condition called fecal impaction.",MSD,simple,4.3,train
1050,Looser stool from above the hardened stool may leak around the impaction into the child's underwear and lead to stool incontinence (encopresis).,MSD,simple,4.3,train
1051,"Streptococcus is a genus of gram-positive coccus (plural cocci) or spherical bacteria that belongs to the family Streptococcaceae, within the order Lactobacillales (lactic acid bacteria), in the phylum Bacillota.",wiki,complex,5.0,train
1052,"Cell division in streptococci occurs along a single axis, so as they grow, they tend to form pairs or chains that may appear bent or twisted.",wiki,complex,4.3,train
1053,"This differs from staphylococci, which divide along multiple axes, thereby generating irregular, grape-like clusters of cells.",wiki,complex,4.3,train
1054,"Most streptococci are oxidase-negative and catalase-negative, and many are facultative anaerobes (capable of growth both aerobically and anaerobically).",wiki,complex,6.0,train
1055,Streptococcus is a genus of spherical Gram-positive bacteria belonging to the phylum Firmicutes and the lactic acid bacteria group.,wiki,simple,5.3,train
1056,"They are cocci, meaning that they are shaped like spheres or circles.",wiki,simple,3.7,train
1057,"Cellular division occurs along a single axis in these bacteria, and thus they grow in chains or pairs, hence the name from Greek στρεπτος "" streptos "", meaning easily bent or twisted, like a chain (twisted chain).",wiki,simple,4.0,train
1058,"Contrast this with staphylococci, which divide along multiple axes and generate grape-like clusters of cells.",wiki,simple,5.0,train
1059,"Streptococci are oxidase and catalase-negative, and many are facultative anaerobes.",wiki,simple,4.7,train
1060,"Atoh1-null mice die at birth from respiratory failure, but the precise cause has remained elusive.",elife,complex,5.0,train
1061,Loss of Atoh1 from various components of the respiratory circuitry (e. g. the retrotrapezoid nucleus (RTN)) has so far produced at most 50% neonatal lethality.,elife,complex,5.3,train
1062,"To identify other Atoh1-lineage neurons that contribute to postnatal survival, we examined parabrachial complex neurons derived from the rostral rhombic lip (rRL) and found that they are activated during respiratory chemochallenges.",elife,complex,6.0,train
1063,"Atoh1-deletion from the rRL does not affect survival, but causes apneas and respiratory depression during hypoxia, likely due to loss of projections to the preBötzinger Complex and RTN.",elife,complex,6.0,train
1064,"Atoh1 thus promotes the development of the neural circuits governing hypoxic (rRL) and hypercapnic (RTN) chemoresponses, and combined loss of Atoh1 from these regions causes fully penetrant neonatal lethality.",elife,complex,5.3,train
1065,This work underscores the importance of modulating respiratory rhythms in response to chemosensory information during early postnatal life.,elife,complex,5.3,train
1066,Breathing seems very simple: humans and other animals do it all the time without even thinking about it.,elife,simple,3.0,train
1067,"Yet, many different cell types coordinate rhythmic breathing movements.",elife,simple,4.0,train
1068,"Some cells set the breathing rhythm, motor neurons control the muscles, and other cells sense blood oxygen and carbon dioxide levels.",elife,simple,3.7,train
1069,"Information about oxygen and carbon dioxide is necessary to trigger faster and deeper breaths when there is too little oxygen, for example, at high altitude.",elife,simple,3.3,train
1070,"Or when there is too much carbon dioxide, for example, during exercise.",elife,simple,3.0,train
1071,"At birth, most newborns can breathe as fast as needed because key genes oversee the development of all the cells involved in breathing.",elife,simple,3.3,train
1072,Learning more about these genes and what they do could lead to better understanding of why some newborns are at risk for sudden infant death or crib death.,elife,simple,3.7,train
1073,"The Atoh1 gene, for example, helps carbon dioxide-sensing cells called retrotrapezoid neurons develop.",elife,simple,5.3,train
1074,Mice born without the Atoh1 gene are unable to breathe normally and die at birth.,elife,simple,4.3,train
1075,"But when the gene is only deleted from these carbon dioxide-sensing cells in mice, just half of them die.",elife,simple,3.7,train
1076,This suggests that Atoh1 in other cells may also be important for breathing.,elife,simple,5.0,train
1077,"Now, Van der Heijden and Zoghbi show that the Atoh1 gene also helps develop another set of cells that are essential for breathing called the parabrachial complex.",elife,simple,5.0,train
1078,These cells receive information from oxygen sensors and relay the information to cells that set breathing rhythms.,elife,simple,3.7,train
1079,Mice missing parabrachial complex cells do not breathe faster when oxygen levels in the air are low.,elife,simple,4.3,train
1080,Mice lacking Atoh1 from both the parabrachial complex cells and the retrotrapezoid cells have breathing problems and die at birth.,elife,simple,5.7,train
1081,Van der Heijden and Zoghbi show that the Atoh1 gene is essential for two cell types that make mice breathe faster when oxygen or carbon dioxide levels change.,elife,simple,5.0,train
1082,Together these two cell types are necessary for survival.,elife,simple,3.3,train
1083,The experiments also may provide insights into what goes wrong in babies who experience sudden infant death.,elife,simple,3.3,train
1084,Mutations in genes that are important to both cell types increase the risk of these infant deaths.,elife,simple,4.0,train
1085,Newborn babies with mutations in such key developmental genes will be at risk when in low oxygen or high carbon dioxide environments because their breathing systems are still maturing.,elife,simple,4.0,train
1086,Antipsychotic drugs are the core treatment for schizophrenia.,cochrane_all,complex,4.0,train
1087,"Treatment guidelines state that there is no difference in efficacy between any other antipsychotic compounds, however, low-potency antipsychotic drugs are often perceived as less efficacious than high-potency compounds by clinicians, and they also seem to differ in their side effects.",cochrane_all,complex,4.0,train
1088,This review examined the effects of the high-potency antipsychotic fluphenazine compared to those of low-potency antipsychotics.,cochrane_all,complex,4.7,train
1089,To review the effects of fluphenazine and low-potency antipsychotics for people with schizophrenia.,cochrane_all,complex,4.3,train
1090,We searched the Cochrane Schizophrenia Group Trials Register (November 2010).,cochrane_all,complex,4.0,train
1091,We included all randomised controlled trials (RCTs) comparing fluphenazine with first-generation low-potency antipsychotic drugs for people with schizophrenia or schizophrenia-like psychosis.,cochrane_all,complex,4.7,train
1092,Data collection and analysis,cochrane_all,complex,3.3,train
1093,We extracted data independently.,cochrane_all,complex,3.3,train
1094,For dichotomous data we calculated risk ratios (RR) and their 95% confidence intervals (CI) on an intention-to-treat basis based on a random-effects model.,cochrane_all,complex,4.3,train
1095,The review currently includes seven randomised trials and 1567 participants that compared fluphenazine with low-potency antipsychotic drugs.,cochrane_all,complex,4.3,train
1096,The size of the included studies was between 40 and 438 participants.,cochrane_all,complex,3.7,train
1097,"Overall, sequence generation, allocation procedures and blinding were poorly reported.",cochrane_all,complex,4.3,train
1098,"Fluphenazine was not significantly different from low-potency antipsychotic drugs in terms of response to treatment (fluphenazine 55%, low-potency drug 55%, 2 RCTs, n = 105, RR 1. 06 CI 0. 75 to 1. 50, moderate quality evidence).",cochrane_all,complex,4.7,train
1099,"There was also no significant difference in acceptability of treatment with equivocal numbers of participants leaving the studies early due to any reason (fluphenazine 36%, low-potency antipsychotics 36%, 6 RCTs, n = 1532, RR 1. 00 CI 0. 88 to 1. 14, moderate quality evidence).",cochrane_all,complex,4.3,train
1100,"There was no significant difference between fluphenazine and low-potency antipsychotics for numbers experiencing at least one adverse effect (fluphenazine 70%, low-potency antipsychotics 88%, 1 RCT, n = 65, RR 0. 79 CI 0. 58 to 1. 07, moderate quality evidence).",cochrane_all,complex,4.3,train
1101,"However, at least one movement disorder occurred significantly more frequently in the fluphenazine group (fluphenazine 15%, low-potency antipsychotics 10%, 3 RCTs, n = 971, RR 2. 11 CI 1. 41 to 3. 15, low quality of evidence).",cochrane_all,complex,5.0,train
1102,"In contrast, low-potency antipsychotics produced significantly more sedation (fluphenazine 20%, low-potency antipsychotics 64%, 1 RCT, n = 65, RR 0. 31 CI 0. 13 to 0. 77, high quality evidence).",cochrane_all,complex,4.7,train
1103,No data were available for the outcomes of death and quality of life.,cochrane_all,complex,3.3,train
1104,The results of the primary outcome were robust in a number of subgroup and sensitivity analyses.,cochrane_all,complex,4.0,train
1105,"Adverse effects such as akathisia (fluphenazine 15%, low-potency antipsychotics 6%, 5 RCTs, n = 1209, RR 2. 28 CI 1. 58 to 3. 28); dystonia (fluphenazine 5%, low-potency antipsychotics 2%, 4 RCTs, n = 1309, RR 2. 66 CI 1. 25 to 5. 64); loss of associated movement (fluphenazine 20%, low-potency antipsychotics 2%, 1 RCT, n = 338, RR 11. 15 CI 3. 95 to 31. 47); rigor (fluphenazine 27%, low-potency antipsychotics 12%, 2 RCTs, n = 403, RR 2. 18 CI 1. 20 to 3. 97); and tremor (fluphenazine 15%, low-potency antipsychotics 6%, 2 RCTs, n = 403, RR 2. 53 CI 1. 37 to 4. 68) occurred significantly more frequently in the fluphenazine group.",cochrane_all,complex,5.7,train
1106,"For other adverse effects such as dizziness (fluphenazine 8%, low-potency antipsychotics 17%, 4 RCTs, n = 1051, RR 0. 49 CI 0. 32 to 0. 73); drowsiness (fluphenazine 18%, low-potency antipsychotics 25%, 3 RCTs, n = 986, RR 0. 67 CI 0. 53 to 0. 86); dry mouth (fluphenazine 11%, low-potency antipsychotics 18%, 4 RCTs, n = 1051, RR 0. 63 CI 0. 45 to 0. 89); nausea (fluphenazine 4%, low-potency antipsychotics 15%, 3 RCTs, n = 986, RR 0. 25 CI 0. 14 to 0. 45); and vomiting (fluphenazine 3%, low-potency antipsychotics 8%, 3 RCTs, n = 986, RR 0. 36 CI 0. 18 to 0. 72) results favoured fluphenazine with significantly more events occurring in the low-potency antipsychotic group for these outcomes.",cochrane_all,complex,5.7,train
1107,The results do not show a clear difference in efficacy between fluphenazine and low-potency antipsychotics.,cochrane_all,complex,4.3,train
1108,The number of included studies was low and their quality moderate.,cochrane_all,complex,4.0,train
1109,"Therefore, further studies would be needed to draw firm conclusions about the relative effects of fluphenazine and low-potency antipsychotics.",cochrane_all,complex,4.3,train
1110,Fluphenazine versus low-potency antipsychotic drugs for schizophrenia,cochrane_all,simple,4.3,train
1111,People with schizophrenia often hear voices or see things (hallucinations) and have strange beliefs (delusions).,cochrane_all,simple,3.7,train
1112,"It is a serious, often long lasting, mental illness that can have a severe detrimental effect on all aspects of the sufferer's life.",cochrane_all,simple,3.7,train
1113,Antipsychotic drugs are the main treatment for the symptoms of schizophrenia.,cochrane_all,simple,4.0,train
1114,Fluphenazine is an older antipsychotic that is effective in treating the symptoms of schizophrenia.,cochrane_all,simple,4.7,train
1115,"However, most antipsychotics have side effects and when compared to newer antipsychotic drugs, fluphenazine is thought to be more likely to cause serious movement disorders such as involuntary shaking, tremors, muscle stiffness and the inability to sit still.",cochrane_all,simple,4.7,train
1116,Fluphenazine is also known to lower people's mood.,cochrane_all,simple,3.7,train
1117,Prescribing low-strength or low-potency drugs can help reduce side effects but are often seen as less effective in treating symptoms.,cochrane_all,simple,4.0,train
1118,This review examined the effects of the high-potency antipsychotic fluphenazine compared with those of low-potency antipsychotics.,cochrane_all,simple,4.7,train
1119,A search for randomised trials comparing these types of drugs was carried out in 2010.,cochrane_all,simple,4.0,train
1120,The review includes seven studies with 1567 participants.,cochrane_all,simple,3.7,train
1121,Pooled data from two of these trials did not show a clear difference in effectiveness between fluphenazine and low-potency antipsychotics.,cochrane_all,simple,4.3,train
1122,"However, evidence showed fluphenazine produced more movement disorders than low-potency antipsychotics, whereas the low-potency drugs were more likely to cause dizziness, drowsiness and sedation, a dry mouth, nausea and sometimes even vomiting.",cochrane_all,simple,4.7,train
1123,The number of included studies was low and the quality of evidence provided was moderate.,cochrane_all,simple,3.7,train
1124,"Therefore, further good quality studies would be needed to draw firm conclusions about the relative effectiveness of fluphenazine compared to low-potency antipsychotics.",cochrane_all,simple,4.3,train
1125,"Important information on service use, going into hospital again (rehospitalisation), costs and quality of life was missing and not reported.",cochrane_all,simple,3.7,train
1126,This plain language summary was written by a consumer Ben Gray from RETHINK mental illness.,cochrane_all,simple,3.7,train
1127,Postnatal corticosteroids are used to improve lung function and reduce the incidence of bronchopulmonary dysplasia (BPD) in preterm babies.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.7,train
1128,"However, corticosteroids may be associated with adverse neurodevelopment.",nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.3,train
1129,"Despite a lack of evidence, some clinicians in the UK use very low-dose regimens of dexamethasone hoping for positive pulmonary effects and optimal neurodevelopment.",nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.3,train
1130,To assess the efficacy and safety of very low-dose dexamethasone at facilitating the extubation of ventilator-dependent preterm babies born at <30 weeks' gestation and who are at high risk of developing BPD.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.7,train
1131,"A multicentre, randomised, masked, parallel-group, placebo-controlled Phase 2b trial.",nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.3,train
1132,The trial was designed as a feasibility study for a subsequent trial of clinical effectiveness.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.0,train
1133,The study was set in 11 tertiary neonatal units in the UK.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.0,train
1134,"Ventilator-dependent preterm babies born at <30 weeks' gestation aged 10-21 days, receiving at least 30% inspired oxygen and at high risk of developing BPD.",nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.3,train
1135,"Exclusions were babies who had received previous courses of postnatal steroids for respiratory disease; had a severe congenital anomaly affecting the lungs, heart or central nervous system, or had a surgical abdominal procedure or patent ductus arteriosus ligation; and had an illness or medication for which postnatal corticosteroid would be contraindicated (e. g. confirmed or suspected acute sepsis, acute necrotising enterocolitis / focal intestinal perforation or cyclo-oxygenase therapy).",nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.7,train
1136,Babies were randomised to very low-dose dexamethasone (50 ug / kg / day for 13 doses) or a matched placebo.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.3,train
1137,"Samples of blood and bronchoalveolar lavage fluid from a subset of babies randomised at three participating sites were sent for cytokine analysis at randomisation and at days 5, 7, 10 and 14 of treatment.",nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.3,train
1138,Time to extubation.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.3,train
1139,Secondary outcomes included rates of extubation by day 7 of the intervention; survival to 36 weeks' postmenstrual age (PMA) or discharge home; respiratory morbidity to 36 weeks' PMA or discharge home; cytokine profile; safety outcomes; and parent / family experience.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.7,train
1140,"The main metric of feasibility, namely recruitment, proved difficult.",nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.3,train
1141,There was a tendency for open-label medication and a higher than predicted rate of suspected / confirmed sepsis among babies.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,3.7,train
1142,Recruitment was halted after 22 babies had been enrolled.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,3.7,train
1143,"It was found that, compared with the placebo group, a higher proportion of babies were extubated at day 7 of life [5/8 (62. 5%) in the very low-dose dexamethasone group vs. 2/6 (33. 3%) in the placebo group] and duration of invasive ventilation was lower (a median of 23 days for the very low-dose dexamethasone group vs. a median of 31 days for the placebo group) in the very low-dose dexamethasone group.",nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.7,train
1144,This is supported by a trend for an increased requirement for open-label rescue steroids in control group babies (41. 7% in the very low-dose dexamethasone group vs. 80% in the placebo group).,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.7,train
1145,"Given the limited sample size, only descriptive statistics can be given; firm conclusions cannot be drawn.",nhir_Efficaacy_and_Mechanism_Evaluation,complex,3.7,train
1146,Small sample size and high rates of open-label treatment use.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,3.7,train
1147,It is not feasible to conduct the required pragmatic trial of clinical effectiveness.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.0,train
1148,Assessment of very low-dose dexamethasone in this patient group requires careful consideration.,nhir_Efficaacy_and_Mechanism_Evaluation,complex,4.7,train
1149,"Babies born prematurely who require prolonged support with breathing machines through a breathing tube (i. e. mechanical ventilation) are at an increased risk of developing long-term breathing problems because of a condition called bronchopulmonary dysplasia (BPD), sometimes called chronic lung disease.",nhir_Efficaacy_and_Mechanism_Evaluation,simple,4.3,train
1150,Babies with BPD have an increased risk of learning difficulties and cerebral palsy (CP).,nhir_Efficaacy_and_Mechanism_Evaluation,simple,4.0,train
1151,Dexamethasone has been used to help babies get off mechanical ventilation.,nhir_Efficaacy_and_Mechanism_Evaluation,simple,4.0,train
1152,"However, previous research shows that babies who are given large doses of dexamethasone and given dexamethasone in the first week of life have an increased risk of CP and learning difficulties.",nhir_Efficaacy_and_Mechanism_Evaluation,simple,4.3,train
1153,The benefits of the use of dexamethasone in babies with a low risk of developing BPD is outweighed by an increased risk of developmental delay.,nhir_Efficaacy_and_Mechanism_Evaluation,simple,4.7,train
1154,"Neonatologists now tend to use only low or very low doses of dexamethasone in babies older than 1 week of age, who are at high risk of developing BPD.",nhir_Efficaacy_and_Mechanism_Evaluation,simple,4.0,train
1155,There is no clear evidence to support this.,nhir_Efficaacy_and_Mechanism_Evaluation,simple,2.7,train
